run_id,run_prefix,completed,exit_ok,node_ok,device_ok,external_completed,rapl_csv,vampire_csv,payload,rapl_energy_matches,rapl_average_matches,rapl_peak_matches,external_energy_matches,external_average_matches,external_peak_matches,payload_internal,payload_external,valid
20260723_101645_idle_c_p1_r1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_101937_memory-stream-hpc_c_p1_r1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_102229_memory-stream-hpc_c_p1_r2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_102520_memory-stream-hpc_c_p1_r3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_102812_memory-stream-hpc_c_p1_r4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_103103_memory-stream-hpc_c_p1_r5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_103355_memory-stream-hpc_c_p2_r1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_103648_memory-stream-hpc_c_p2_r2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_103940_memory-stream-hpc_c_p2_r3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_104233_memory-stream-hpc_c_p2_r4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_104524_memory-stream-hpc_c_p2_r5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_104817_memory-stream-hpc_c_p4_r1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_105108_memory-stream-hpc_c_p4_r2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_105400_memory-stream-hpc_c_p4_r3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_105652_memory-stream-hpc_c_p4_r4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_105944_memory-stream-hpc_c_p4_r5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_110237_memory-stream-hpc_c_p6_r1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_110530_memory-stream-hpc_c_p6_r2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_110823_memory-stream-hpc_c_p6_r3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_111116_memory-stream-hpc_c_p6_r4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_111410_memory-stream-hpc_c_p6_r5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_111703_memory-stream-hpc_c_p8_r1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_111956_memory-stream-hpc_c_p8_r2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_112251_memory-stream-hpc_c_p8_r3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_112545_memory-stream-hpc_c_p8_r4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_112839_memory-stream-hpc_c_p8_r5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_113133_memory-stream-hpc_c_p12_r1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_113429_memory-stream-hpc_c_p12_r2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_113724_memory-stream-hpc_c_p12_r3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_114020_memory-stream-hpc_c_p12_r4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_114314_memory-stream-hpc_c_p12_r5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_114614_compute-dgemm-hpc_c_p1_r1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_114908_compute-dgemm-hpc_c_p1_r2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_115201_compute-dgemm-hpc_c_p1_r3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_115454_compute-dgemm-hpc_c_p1_r4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_115748_compute-dgemm-hpc_c_p1_r5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_120042_compute-dgemm-hpc_c_p2_r1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_120337_compute-dgemm-hpc_c_p2_r2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_120630_compute-dgemm-hpc_c_p2_r3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_120924_compute-dgemm-hpc_c_p2_r4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_121217_compute-dgemm-hpc_c_p2_r5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_121512_compute-dgemm-hpc_c_p4_r1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_121807_compute-dgemm-hpc_c_p4_r2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_122100_compute-dgemm-hpc_c_p4_r3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_122355_compute-dgemm-hpc_c_p4_r4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_122651_compute-dgemm-hpc_c_p4_r5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_122945_compute-dgemm-hpc_c_p6_r1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_123239_compute-dgemm-hpc_c_p6_r2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_123534_compute-dgemm-hpc_c_p6_r3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_123829_compute-dgemm-hpc_c_p6_r4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_124123_compute-dgemm-hpc_c_p6_r5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_124424_compute-dgemm-hpc_c_p8_r1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_124720_compute-dgemm-hpc_c_p8_r2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_125016_compute-dgemm-hpc_c_p8_r3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_125312_compute-dgemm-hpc_c_p8_r4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_125607_compute-dgemm-hpc_c_p8_r5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_125902_compute-dgemm-hpc_c_p12_r1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_130159_compute-dgemm-hpc_c_p12_r2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_130455_compute-dgemm-hpc_c_p12_r3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_130751_compute-dgemm-hpc_c_p12_r4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20260723_131049_compute-dgemm-hpc_c_p12_r5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
