run_id,campaign,benchmark,profile,cores,threads,rep,node,job_id,benchmark_duration_s,rapl_duration_s,rapl_samples,rapl_energy_j,rapl_avg_power_w,rapl_peak_power_w,vampire_device,vampire_duration_s,vampire_capture_window_s,vampire_samples,vampire_energy_j,vampire_avg_power_w,vampire_peak_power_w,vampire_minus_rapl_j,rapl_coverage_percent,external_internal_ratio,work,throughput,throughput_unit,process_outputs,rapl_energy_efficiency,external_energy_efficiency
20260723_101645_idle_c_p1_r1,hpc_tfg_main_campaign,idle,p1,1,1,1,compute-0-4,9739,120.549404,120.549404,104,2858.098335,23.70336335576923,28.322573,hpm4,120.124917768,168.252790528,24,10926.243686594742,90.95734581643457,93.4,8068.145351594741,26.158105356066343,3.8229068443142777,,,,0,,
20260723_101937_memory-stream-hpc_c_p1_r1,hpc_tfg_main_campaign,memory-stream-hpc,p1,1,1,1,compute-0-4,9740,120.040423,120.394548,104,8922.928513,74.11449691346154,76.944181,hpm4,120.508984107,168.219069952,24,18757.942044594787,155.65596360798793,162.0,9835.013531594786,47.568803079713085,2.1022181246062828,1196400000000.0,9.966642653366858,GB/s,1,134081540.41096932,63780983.92433992
20260723_102229_memory-stream-hpc_c_p1_r2,hpc_tfg_main_campaign,memory-stream-hpc,p1,1,1,2,compute-0-4,9741,120.021342,120.912675,104,8952.612396,74.04369597115382,76.968376,hpm4,120.498919567,168.80691328,24,18850.18181593615,156.43444674584856,160.4,9897.56941993615,47.49350687127784,2.105550981337956,1192800000000.0,9.93823248535248,GB/s,1,133234853.38569325,63277904.24767117
20260723_102520_memory-stream-hpc_c_p1_r3,hpc_tfg_main_campaign,memory-stream-hpc,p1,1,1,3,compute-0-4,9742,120.06417,120.758192,104,8937.041392,74.00761557692306,74.951388,hpm4,120.508261157,168.219346944,24,18853.67093342501,156.451273567562,160.7,9916.629541425013,47.402128866882,2.1096098928558047,1207200000000.0,10.054623290195568,GB/s,1,135078259.91279688,64029970.8350058
20260723_102812_memory-stream-hpc_c_p1_r4,hpc_tfg_main_campaign,memory-stream-hpc,p1,1,1,4,compute-0-4,9743,120.00926,120.336914,102,8914.379767,74.07313397058822,75.025244,hpm4,120.458325473,167.703358976,24,18893.331723260944,156.84537908918358,160.1,9978.951956260944,47.18267745240964,2.119421902261991,1204800000000.0,10.039225306447186,GB/s,1,135152420.18968385,63768530.4872239
20260723_103103_memory-stream-hpc_c_p1_r5,hpc_tfg_main_campaign,memory-stream-hpc,p1,1,1,5,compute-0-4,9744,120.080578,121.340976,105,8961.127877,73.8490985333333,74.948952,hpm4,120.525919831,168.737969408,24,18804.711202917777,156.0221339051842,159.2,9843.583325917776,47.653632009033856,2.098475935287423,1207200000000.0,10.053249410574955,GB/s,1,134715185.02692604,64196678.53302041
20260723_103355_memory-stream-hpc_c_p2_r1,hpc_tfg_main_campaign,memory-stream-hpc,p2,2,2,1,compute-0-4,9745,120.067573,121.148289,104,10314.667563,85.14008986538462,85.936936,hpm4,120.653344563,168.723123712,24,20621.360747370476,170.91412444520248,172.7,10306.693184370475,50.0193352386567,1.9992268894192837,2394000000000.0,19.938772311155155,GB/s,2,232096670.62732846,116093211.75884429
20260723_103648_memory-stream-hpc_c_p2_r2,hpc_tfg_main_campaign,memory-stream-hpc,p2,2,2,2,compute-0-4,9746,120.111346,120.66893400000001,104,10260.792214,85.03217889423078,85.564541,hpm4,120.651276263,168.251900672,24,20520.05920522322,170.077431758723,173.4,10259.266991223221,50.0037164190452,1.9998513542867873,2391600000000.0,19.911524428341682,GB/s,2,233081418.0933184,116549371.32887204
20260723_103940_memory-stream-hpc_c_p2_r3,hpc_tfg_main_campaign,memory-stream-hpc,p2,2,2,3,compute-0-4,9747,120.11032,120.864112,104,10288.391875,85.12659308653846,85.868829,hpm4,120.600884797,168.253002752,24,20538.678523263792,170.3028842436378,171.7,10250.286648263793,50.0927645532137,1.9962962893327576,2396400000000.0,19.951657775951308,GB/s,2,232922698.62145004,116677419.0114345
20260723_104233_memory-stream-hpc_c_p2_r4,hpc_tfg_main_campaign,memory-stream-hpc,p2,2,2,4,compute-0-4,9748,120.082586,121.049186,104,10318.901746,85.24269950961533,85.97248,hpm4,120.641883619,168.715939328,24,20588.037262939895,170.65414303343542,172.8,10269.135516939896,50.1208620045333,1.9951771777379899,2396400000000.0,19.956265765295896,GB/s,2,232234016.66063312,116397691.01806079
20260723_104524_memory-stream-hpc_c_p2_r5,hpc_tfg_main_campaign,memory-stream-hpc,p2,2,2,5,compute-0-4,9749,120.094867,120.910439,104,10323.024476,85.37742906730772,86.095547,hpm4,120.665470913,168.259130112,24,20595.46163527477,170.68231267355787,172.4,10272.437159274768,50.12281180587521,1.9950995643919238,2390400000000.0,19.90426451781657,GB/s,2,231560043.81830546,116064404.98065141
20260723_104817_memory-stream-hpc_c_p4_r1,hpc_tfg_main_campaign,memory-stream-hpc,p4,4,4,1,compute-0-4,9750,120.195659,120.760333,103,11126.964252,92.14090853398059,92.699789,hpm4,120.881244813,168.215660032,24,21601.849970326828,178.7030734481954,180.8,10474.885718326828,51.50931178248366,1.9413965463620533,2703600000000.0,22.493324821323203,GB/s,4,242977324.16225255,125155947.46347067
20260723_105108_memory-stream-hpc_c_p4_r2,hpc_tfg_main_campaign,memory-stream-hpc,p4,4,4,2,compute-0-4,9751,120.097066,121.084281,104,11122.982389,91.86156749038462,92.454269,hpm4,120.838101349,168.743079424,24,21634.49615053224,179.03704137197846,180.5,10511.513761532238,51.41317972744357,1.9450265579785084,2702400000000.0,22.501798670085748,GB/s,4,242956421.7122667,124911621.75429341
20260723_105400_memory-stream-hpc_c_p4_r3,hpc_tfg_main_campaign,memory-stream-hpc,p4,4,4,3,compute-0-4,9752,120.148719,121.689289,104,11171.792506,91.80818489423079,95.259014,hpm4,121.210053736,169.30661888,24,21665.472141030194,178.7431939286026,180.6,10493.679635030194,51.564962135502206,1.9393013367724459,2688000000000.0,22.372273482166715,GB/s,4,240605972.4575411,124068378.59348795
20260723_105652_memory-stream-hpc_c_p4_r4,hpc_tfg_main_campaign,memory-stream-hpc,p4,4,4,4,compute-0-4,9753,120.107436,121.128517,104,11114.872913,91.76104280769233,93.204326,hpm4,120.974975158,168.759614464,24,21586.32325810041,178.4362694012334,180.8,10471.45034510041,51.49034775447028,1.9421115677222867,2691600000000.0,22.409936383955444,GB/s,4,242162013.1033522,124690062.67614192
